booking_id,booking_date,checkin_date,checkout_date,city,hotel_type,room_type,length_of_stay,adults,children,customer_segment,booking_month,checkin_month,checkin_day_of_week,is_weekend_checkin,is_peak_season,is_special_event,lead_time_days,occupancy_rate,base_adr,competitor_adr,dynamic_adr,total_revenue,price_change_from_base
HB000001,2024-10-03,2024-10-22,2024-10-29,Goa,Resort,Suite,7,2,2,Leisure,10,10,1,0,1,0,19,0.95,8500,14459.53,57091.45,399640.16,571.66
HB000002,2022-10-04,2023-03-30,2023-04-04,Delhi,Luxury,Standard,5,2,0,Leisure,10,3,3,0,0,0,177,0.795,6800,14826.06,12902.64,64513.22,89.74
HB000003,2023-12-10,2024-05-18,2024-05-24,Delhi,Budget,Executive,6,3,0,Business,12,5,5,1,1,0,160,0.92,6800,3824.27,12432.46,74594.79,82.83
HB000004,2023-10-13,2023-12-29,2024-01-02,Pune,Boutique,Executive,4,3,0,Leisure,10,12,4,0,1,0,77,0.937,5200,6889.22,19206.72,76826.89,269.36
HB000005,2023-12-13,2024-06-03,2024-06-10,Goa,Budget,Standard,7,3,0,Business,12,6,0,0,0,1,173,0.675,8500,4928.57,5714.88,40004.13,-32.77
HB000006,2023-07-04,2023-09-07,2023-09-10,Kolkata,Budget,Standard,3,3,0,Leisure,7,9,3,0,0,0,65,0.774,4800,3131.25,2815.76,8447.27,-41.34
HB000007,2024-07-05,2024-09-30,2024-10-04,Mumbai,Business,Executive,4,4,0,Leisure,7,9,0,0,0,0,87,0.689,7500,6813.69,9823.87,39295.49,30.98
HB000008,2024-07-28,2024-10-08,2024-10-13,Delhi,Business,Executive,5,2,2,Leisure,7,10,1,0,1,0,72,0.95,6800,6527.32,18290.8,91453.99,168.98
HB000009,2022-10-28,2023-02-11,2023-02-15,Mumbai,Luxury,Deluxe,4,3,0,Business,10,2,5,1,0,0,106,0.792,7500,16172.07,23491.14,93964.56,213.22
HB000010,2023-10-22,2023-11-16,2023-11-20,Kolkata,Resort,Suite,4,4,0,Leisure,10,11,3,0,1,0,25,0.95,4800,7930.46,30262.85,121051.41,530.48
HB000011,2024-06-12,2024-08-14,2024-08-21,Mumbai,Luxury,Suite,7,1,1,Business,6,8,2,0,0,0,63,0.763,7500,15657.77,27577.54,193042.79,267.7
HB000012,2023-10-16,2024-02-28,2024-03-06,Mumbai,Budget,Suite,7,2,0,Leisure,10,2,2,0,0,0,135,0.763,7500,4855.04,8265.35,57857.44,10.2
HB000013,2023-03-01,2023-04-29,2023-05-03,Bangalore,Luxury,Suite,4,1,2,Business,3,4,5,1,1,0,59,0.944,6200,11849.85,50412.85,201651.38,713.11
HB000014,2024-03-13,2024-08-09,2024-08-10,Delhi,Luxury,Standard,1,1,0,Leisure,3,8,4,0,0,0,149,0.703,6800,13487.65,12506.79,12506.79,83.92
HB000015,2024-08-18,2024-11-21,2024-11-26,Delhi,Budget,Deluxe,5,2,1,Business,8,11,3,0,1,0,95,0.93,6800,3965.26,8453.01,42265.06,24.31
HB000016,2023-04-21,2023-05-04,2023-05-10,Hyderabad,Boutique,Suite,6,3,0,Leisure,4,5,3,0,1,0,13,0.95,5500,8258.95,28805.24,172831.41,423.73
HB000017,2024-03-08,2024-06-01,2024-06-02,Delhi,Resort,Suite,1,2,0,Leisure,3,6,5,1,0,0,85,0.801,6800,11729.86,29697.93,29697.93,336.73
HB000018,2024-11-06,2024-12-04,2024-12-07,Bangalore,Business,Executive,3,3,0,Business,11,12,2,0,1,0,28,0.95,6200,5956.74,19871.74,59615.22,220.51
HB000019,2023-12-28,2024-02-20,2024-02-27,Delhi,Business,Executive,7,2,0,Leisure,12,2,1,0,0,0,54,0.72,6800,7033.58,9761.53,68330.74,43.55
HB000020,2024-02-13,2024-05-05,2024-05-09,Delhi,Business,Executive,4,2,2,Business,2,5,6,1,1,0,82,0.95,6800,6578.37,21506.51,86026.04,216.27
HB000021,2023-05-21,2023-08-22,2023-08-28,Delhi,Boutique,Suite,6,3,0,Leisure,5,8,1,0,0,1,93,0.79,6800,9981.33,24658.86,147953.15,262.63
HB000022,2024-03-05,2024-04-30,2024-05-02,Hyderabad,Boutique,Standard,2,4,0,Business,3,4,1,0,1,0,56,0.908,5500,6995.54,12743.19,25486.39,131.69
HB000023,2024-06-18,2024-08-05,2024-08-09,Hyderabad,Budget,Standard,4,1,2,Leisure,6,8,0,0,0,0,48,0.711,5500,3420.27,2933.2,11732.79,-46.67
HB000024,2023-09-27,2024-03-21,2024-03-24,Hyderabad,Boutique,Standard,3,4,0,Leisure,9,3,3,0,0,0,176,0.685,5500,7042.45,6963.43,20890.3,26.61
HB000025,2022-08-25,2023-01-07,2023-01-13,Pune,Business,Standard,6,1,2,Business,8,1,5,1,1,0,135,0.895,5200,5413.73,9535.07,57210.41,83.37
HB000026,2023-12-19,2024-02-26,2024-03-04,Delhi,Budget,Standard,7,4,0,Business,12,2,0,0,0,0,69,0.738,6800,3998.2,3699.86,25899.01,-45.59
HB000027,2022-10-04,2023-02-15,2023-02-16,Goa,Boutique,Suite,1,4,0,Business,10,2,2,0,0,1,134,0.855,8500,11437.35,34960.22,34960.22,311.3
HB000028,2024-06-24,2024-09-14,2024-09-18,Bangalore,Resort,Suite,4,3,0,Group,6,9,5,1,0,0,82,0.813,6200,11251.23,25549.41,102197.62,312.09
HB000029,2023-09-12,2023-11-08,2023-11-15,Chennai,Business,Standard,7,3,0,Business,9,11,2,0,1,0,57,0.921,5800,6306.77,9645.6,67519.21,66.3
HB000030,2024-09-28,2024-12-17,2024-12-24,Bangalore,Business,Suite,7,2,1,Business,9,12,1,0,1,0,80,0.911,6200,5805.12,19784.21,138489.48,219.1
HB000031,2022-09-28,2023-03-07,2023-03-09,Hyderabad,Boutique,Standard,2,2,0,Leisure,9,3,1,0,0,0,160,0.709,5500,7025.14,6733.13,13466.26,22.42
HB000032,2024-03-12,2024-03-23,2024-03-28,Pune,Budget,Standard,5,1,2,Leisure,3,3,5,1,0,0,11,0.74,5200,2888.28,3939.07,19695.37,-24.25
HB000033,2024-01-16,2024-05-07,2024-05-13,Pune,Luxury,Deluxe,6,4,0,Leisure,1,5,1,0,1,0,112,0.95,5200,10102.87,22543.79,135262.72,333.53
HB000034,2024-02-01,2024-07-05,2024-07-07,Bangalore,Business,Deluxe,2,2,2,Leisure,2,7,4,0,0,0,155,0.776,6200,6117.99,8175.92,16351.84,31.87
HB000035,2024-08-22,2024-12-27,2024-12-31,Chennai,Boutique,Executive,4,3,0,Group,8,12,4,0,1,0,127,0.95,5800,7657.0,21308.8,85235.19,267.39
HB000036,2022-11-03,2023-04-18,2023-04-23,Goa,Boutique,Executive,5,4,0,Business,11,4,1,0,1,0,166,0.95,8500,12594.73,30995.69,154978.47,264.66
HB000037,2022-11-11,2023-03-19,2023-03-21,Mumbai,Business,Deluxe,2,1,1,Business,11,3,6,1,0,0,128,0.836,7500,7324.39,12942.4,25884.81,72.57
HB000038,2024-01-10,2024-06-15,2024-06-19,Bangalore,Resort,Deluxe,4,2,0,Group,1,6,5,1,0,0,157,0.674,6200,10726.53,14924.9,59699.6,140.72
HB000039,2024-01-20,2024-04-22,2024-04-29,Hyderabad,Boutique,Deluxe,7,2,2,Group,1,4,0,0,1,0,93,0.879,5500,8063.29,14587.32,102111.26,165.22
HB000040,2024-07-12,2024-11-22,2024-11-29,Delhi,Boutique,Executive,7,3,0,Leisure,7,11,4,0,1,0,133,0.95,6800,9443.14,24606.26,172243.85,261.86
HB000041,2023-10-11,2024-03-08,2024-03-11,Kolkata,Luxury,Standard,3,4,0,Leisure,10,3,4,0,0,0,149,0.697,4800,9165.24,8584.81,25754.43,78.85
HB000042,2023-06-16,2023-11-11,2023-11-15,Bangalore,Boutique,Deluxe,4,4,0,Business,6,11,5,1,1,0,148,0.903,6200,8758.55,21812.71,87250.83,251.82
HB000043,2023-04-30,2023-08-27,2023-09-01,Pune,Resort,Suite,5,2,0,Leisure,4,8,6,1,0,0,119,0.768,5200,8888.06,22136.04,110680.2,325.69
HB000044,2024-06-26,2024-11-06,2024-11-10,Pune,Luxury,Suite,4,3,0,Leisure,6,11,2,0,1,0,133,0.95,5200,10183.24,34003.36,136013.44,553.91
HB000045,2024-06-28,2024-08-30,2024-09-02,Mumbai,Resort,Executive,3,1,2,Business,6,8,4,0,0,0,63,0.885,7500,14322.03,24754.05,74262.15,230.05
HB000046,2023-04-10,2023-05-23,2023-05-30,Chennai,Business,Executive,7,4,0,Business,4,5,1,0,1,0,43,0.95,5800,5889.68,15600.57,109204.02,168.98
HB000047,2024-09-04,2024-11-05,2024-11-07,Mumbai,Budget,Standard,2,3,0,Business,9,11,1,0,1,0,62,0.95,7500,4805.06,7892.96,15785.93,5.24
HB000048,2024-08-27,2024-12-02,2024-12-03,Kolkata,Resort,Executive,1,2,0,Business,8,12,0,0,1,0,97,0.867,4800,8804.69,21648.86,21648.86,351.02
HB000049,2024-07-16,2024-12-07,2024-12-09,Goa,Boutique,Executive,2,3,0,Business,7,12,5,1,1,0,144,0.95,8500,12889.98,39661.96,79323.93,366.61
HB000050,2023-11-02,2024-04-07,2024-04-11,Pune,Luxury,Deluxe,4,2,2,Business,11,4,6,1,1,0,157,0.936,5200,9967.55,26426.77,105707.09,408.21
HB000051,2023-07-22,2023-09-16,2023-09-18,Kolkata,Resort,Suite,2,1,1,Business,7,9,5,1,0,0,56,0.843,4800,9240.24,22423.25,44846.5,367.15
HB000052,2023-05-06,2023-09-05,2023-09-09,Hyderabad,Luxury,Standard,4,1,0,Leisure,5,9,1,0,0,0,122,0.799,5500,11367.52,11207.58,44830.32,103.77
HB000053,2023-10-05,2024-01-05,2024-01-11,Pune,Boutique,Standard,6,2,1,Business,10,1,4,0,1,0,92,0.888,5200,7160.04,10858.35,65150.08,108.81
HB000054,2023-08-26,2024-01-10,2024-01-13,Chennai,Business,Executive,3,1,0,Leisure,8,1,2,0,1,0,137,0.939,5800,6106.07,15677.93,47033.79,170.31
HB000055,2024-06-27,2024-09-03,2024-09-10,Delhi,Resort,Deluxe,7,1,2,Leisure,6,9,1,0,0,0,68,0.802,6800,12415.36,15221.68,106551.76,123.85
HB000056,2023-05-22,2023-07-31,2023-08-02,Kolkata,Business,Executive,2,1,1,Leisure,5,7,0,0,0,0,70,0.837,4800,4635.85,8457.73,16915.47,76.2
HB000057,2022-12-17,2023-05-08,2023-05-09,Hyderabad,Boutique,Executive,1,2,1,Leisure,12,5,0,0,1,0,142,0.896,5500,7331.22,20524.01,20524.01,273.16
HB000058,2023-01-11,2023-02-17,2023-02-22,Pune,Budget,Suite,5,1,0,Leisure,1,2,4,0,0,0,37,0.814,5200,3291.46,6315.02,31575.12,21.44
HB000059,2023-12-09,2023-12-17,2023-12-22,Pune,Budget,Executive,5,2,2,Business,12,12,6,1,1,0,8,0.93,5200,2922.0,10591.21,52956.06,103.68
